NA	sentiment	tweet
2.6389E+17	neutral	Taking a nap\u002c by 6 or 7 pm I\u2019m going to ABS-CBN.  5am flight tomorrow\u002c #hasslepare!
2.6345E+17	neutral	We saw @annecurtissmith with @vicegandako last October 29 at ABS-CBN hallway.
2.63092E+17	neutral	sungkyunkwan scandal on ABS-CBN.. i just finished the series yesterday..:))))) i may sound like a spoiler now <evil laugh>
2.63842E+17	positive	@tanduayrhumph wow! Thank you TANDUAY may replay ang #TanduayRockfest sa ABS-CBN. you\u2019re the best @tanduayrhunph. ROCK ON PILIPINAS!
2.62389E+17	positive	At noon today\u002c you\u2019ll know why #YouCount tune in to ABS-CBN to see the 1st #TVC of the Biggest & d\u2019 Brightest #BPO Employer in PH #CONVERGYS
2.61388E+17	positive	Everyone please watch ASAP on  ABS-CBN this Sunday to see the beautiful @AnnaMariaPdT :D
2.62065E+17	positive	NOVEMBER SUPER TOUR: Nov 10-11: Rockwell Ten; Nov 9\u002c 16\u002c 23: ABS-CBN Friday Market. Meet Super Tuyo and Friends! See you! :-)
2.62852E+17	positive	thank you ABS-CBN and BCWMH for the fantastic episode today. Tomorrow again. I can\u2019t wait to... http://t.co/ve5Brqh1
2.64251E+17	neutral	ARRIVAL of ship: ARABIAN TAHR Port: ABU DHABI Time: Nov 2 2012 6:11AM (UTC) (Time of arrival/departure is the time the vessel app...
2.64244E+17	neutral	ARRIVAL of ship: MATAF PRIDE Port: ABU DHABI Time: Nov 2 2012 5:44AM (UTC) (Time of arrival/departure is the time the vessel appr...
2.64254E+17	neutral	ARRIVAL of ship: NMS 202 Port: ABU DHABI Time: Nov 2 2012 6:21AM (UTC) (Time of arrival/departure is the time the vessel approach...
2.64075E+17	neutral	ARRIVAL of ship: SHAM Port: ABU DHABI Time: Nov 1 2012 6:27PM (UTC) (Time of arrival/departure is the time the vessel approaches ...
2.64206E+17	neutral	DEPARTURE of ship: AL DHAFRAH Port: ABU DHABI Time: Nov 2 2012 3:09AM (UTC) (Time of arrival/departure is the time the vessel app...
2.64229E+17	neutral	DEPARTURE of ship: AMS 111 Port: ABU DHABI Time: Nov 2 2012 4:47AM (UTC) (Time of arrival/departure is the time the vessel approa...
2.64258E+17	neutral	DEPARTURE of ship: ARABIAN ORYX Port: ABU DHABI Time: Nov 2 2012 6:41AM (UTC) (Time of arrival/departure is the time the vessel a...
2.64229E+17	neutral	DEPARTURE of ship: JUMBO SPIRIT Port: ABU DHABI Time: Nov 2 2012 4:49AM (UTC) (Time of arrival/departure is the time the vessel a...
2.64218E+17	neutral	DEPARTURE of ship: SHAM Port: ABU DHABI Time: Nov 2 2012 4:09AM (UTC) (Time of arrival/departure is the time the vessel approache...
2.64233E+17	neutral	DEPARTURE of ship: STANFORD PROVIDER Port: ABU DHABI Time: Nov 2 2012 5:03AM (UTC) (Time of arrival/departure is the time the ves...
2.62085E+17	negative	@imjustanerd We may not win Academy Awards\u002c but we will be the freaking People\u2019s Choice dammit!!!
2.62986E+17	neutral	@GrantLawrence @CBCRadio3 I\u2019m just suggesting it for the sake of completeness\u002c a la Polaris\u2019s May 31st deadline & Academy Awards\u2019 Dec. 31.
2.57178E+17	neutral	@NickScholer Have you seen Lawless? If Guy Pearce doesn\u2019t get an Oscar nomination for that\u002c I may possibly give up on the Academy Awards..
2.5538E+17	neutral	Actors have the Academy Awards\u002c Recording Artists have the Grammys\u002c and now..DJ\u2019s have the GSA\u2019s!! - NOMINEES ANNOUNCED TOMORROW 10/9
2.53047E+17	neutral	Seth McFarlane set to host the 85th Academy Awards in February. What do you think of that choice?
2.62982E+17	neutral	The 1st Academy Awards ceremony\u002c presented by the Academy of Motion Picture Arts and Sciences (AMPAS)\u002c honored... http://t.co/UWIF37QV
2.58221E+17	neutral	The Clown has broken the record and become the 1st film to win 12 Brazilian Academy Awards yesterday. http://t.co/mbSGY3kt
2.58964E+17	neutral	Today\u2019s answer: Stone has received 3 Academy Awards for his work on the films Midnight Express\u002c Platoon\u002c and Born on the Fourth of July.
2.64174E+17	neutral	Would your company like to #sponsor the 3rd annual PNC Bank #NonProfit Academy Awards?  See attached for details. http://t.co/ebZFV0SR
2.59133E+17	positive	The 1st Black woman to ever host the Academy Awards was=>@WhoopiGoldberg! I want to be like her! #BlackHistoryMoment
2.64125E+17	negative	Fuck SAT! ACT is where it\u2019s at! :D
2.64186E+17	negative	I don\u2019t want to take ACT tomorrow. ):
2.64095E+17	negative	Talking about ACT\u2019s && SAT\u2019s\u002c deciding where I want to go to college\u002c applying to colleges and everything about college stresses me out.
2.6389E+17	negative	registering for my ACT\u2019s and SAT\u2019s at the last minute -____- I am so tired
2.64132E+17	neutral	@CASS_TAR is addicted to ACT. She just took one on Saturday. And she just signed up for a third test.
2.64159E+17	neutral	@Lo3o2 Oh iight I can dig it but how you going to act tomorrow night tho younging ?
2.63894E+17	neutral	Also need to be at least accredated in ACT or REBT before the end of 4th yr.
2.64154E+17	neutral	Finished signing up for the SAT and ACT
2.64093E+17	neutral	oH MAN i thought the deadline for ACT was tomorrow I have until the 9th bless
2.63712E+17	negative	@dannyislington nah I havnt knew about the Adidas deal! U like it? I\u2019m undecided....   Where u watching game sat? I\u2019m trying to get it off!
2.63875E+17	neutral	@AidilIzwann cause my agent say those who wanna continue at Adidas go to the office on monday @ 2pm! no other days to go alr! ASK QUICK.
2.64076E+17	neutral	@KingSwaGGyy yeaa im still lookin smh...may have to go to the adidas store. The asian dudes wear em 24/7.
2.63836E+17	neutral	@sabrina_k13 I think so ill bring it on Monday is it the Adidas
2.64164E+17	neutral	Bring the Adidas sock tomorrow @trytheV3AL
2.63728E+17	neutral	Got the job in the mall ..now time to get the job at  Adidas tomorrow
2.64124E+17	neutral	i\u2019ll make my bid for the adidas predator tomorrow Godwilling...
2.6375E+17	positive	"@thewovenword ....is @ericwfoster going as that \""""Upwards Kid\"""" that he played so well on Sunday night??!! ....with his prop/friend\u002c \""""Adidas\""""?"
2.64231E+17	positive	Even though Nike is 10x better than Adidas I\u2019m still going to the Adidas employee store tomorrow
2.6423E+17	positive	Oh and P.S. big Adidas warehouse sale tomorrow if you\u2019re interested!
2.23577E+17	neutral	@PartyMiami247: THE DONKEY SHOW OPENING TOMORROW at the ADRIENNE ARSHT CENTER @ArshtCenter GET YOUR TICKETS TODAY http://t.co/TztF8riS
2.5798E+17	neutral	Friday\u002c October 19th - Talib Kweli: Idle Warship with Res at the Adrienne Arsht Center!  http://t.co/LJ94Bofa
2.58275E+17	neutral	Hip Hop Fans! #TALIBKWELI - IDLE WARSHIP WITH #RES this Fri  @ Adrienne Arsht Center for the Performing Arts http://t.co/ntou49hv
2.05784E+17	neutral	I got tomorrow off!! Woooop!! (@ Adrienne Arsht Center for the Performing Arts) http://t.co/mzdD0SYo
2.30787E+17	neutral	Join us at The Donkey Show at Adrienne Arsht Center for the Performing Arts THIS Friday! SAVE $5 OFF tickets to... http://t.co/1Y28RGud
2.55783E+17	neutral	PHOTOS: Rock Of Ages kicks off the 7th Season at the Adrienne Arsht Center @arshtcenter http://t.co/btD3cATy
2.27553E+17	neutral	The Disco Balls are being polished...are you ready!?! This Thursday Night! Join us at the Adrienne Arsht Center... http://t.co/ahrAVMu0
2.2248E+17	neutral	"This Thursday we have tickets to the special pre-screening event of \""""The Donkey Show\"""" Adrienne Arsht Center for... http://t.co/OEJOHoXL"
2.59651E+17	neutral	uploading random pics! Lol this is me last Sunday at a show at the Adrienne Arsht Center! http://t.co/LeuEqikT
2.2382E+17	positive	The Donkey Show - Friday the 13th is an exciting day for the Adrienne Arsht Center of the Performing Arts in... http://t.co/bBWutUD0
2.48439E+17	negative	3rd one dropped by Afghans. This is not how you put pressure.  #indvafg #wt20
2.55259E+17	negative	@verumserum Vandals in Oakland same as the night before in SF with Afghans grown in. http://t.co/hTOswj4n
2.48713E+17	negative	Afghans protest against French cartoons\u002c US film: Hundreds of Afghans on Thursday protested for the first time a... http://t.co/72mtIYlV
2.48788E+17	negative	Rediff Live! Hundreds of Afghans on Thursday protested for the first time against cartoons of the prophet Mohamm... http://t.co/Eo6GLev6
2.49178E+17	negative	Wicket\u002c its getting worse for the Afghans\u002c they have slipped to 22-4 after Karim Sadiq (5) was run out by Jos Buttler in the 6th over.
2.48916E+17	neutral	Pakistan to talk counterterrorism with US\u002c Afghans: Pakistan\u2019s foreign minister revealed Thursday that her country would soon hold co...
2.5356E+17	neutral	Taken 2 comes out Friday and the Afghans will have it Saturday guaranteed
2.58984E+17	positive	@Mikeisthestig Not in the Afghan halal meat shop but it may as well be with the amount of Afghans and halal meat in the house!!
2.63677E+17	positive	@PeymanaAssad Yesterday? lol alotta Afghans had birthdays yesterday it isnt even January 1st\u002c Happy Birthday :D
2.57276E+17	positive	Skyline Drive/ Shenandoah w the fambam tomorrow! Afghans at a park.. on a Sunday.. how unique lol
2.61901E+17	neutral	6 people left in the world and one of them is bill Murray ...there\u2019s only 5 people .....who\u2019s the 6th???
2.61338E+17	neutral	@bamberwove haha if it gets to serious you may wanna call the original ghost hunter... Bill Murray #ghostbusters
2.63439E+17	neutral	"@maylingsu I\u2019m thinking of an outfit like \""""Nick the Lounge Singer\"""" (Bill Murray) from the old old Saturday Night Live. Maybe a sherbet tux?"
2.63284E+17	neutral	Bill Murray: Yeah\u002c on Monday I am off to meet Infinity Ward about the next game\u002c Modern Warfare 4\u002c Im doing work on the sequel to MW3
2.62384E+17	neutral	C\u2019mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers
2.63235E+17	neutral	Tom hanks and bill Murray may be the two people I would most like to meet. Well\u002c them and Scarlett Johansen. Different reasons though...
2.63918E+17	neutral	"When \""""columbus\"""" shoots Bill Murray in zombieland it may be one of the funniest things ever."
2.62283E+17	positive	@lilyeliza1 Bruce Willis\u002c Bill Murray and Ed Norton all in the same film. I may faint.
2.61557E+17	positive	I may spend a lot of my free time riding on random elevators hoping for a chance encounter with Bill Murray...
2.61864E+17	positive	Just cus it\u2019s Friday here are 62 reasons why Bill Murray is awesome http://t.co/e78cx5hQ
2.50396E+17	neutral	@dantencer Oct 17 it will be mostly dead but mostly dead is still a little bit alive!! (Billy Crystal the princess bride)
2.43913E+17	neutral	@keltron76 Your helicopter may be wicked\u002c but your Billy Crystal is gonna be the http://t.co/3YMIJe4C #going2Bgreat
2.53307E+17	neutral	"@mindykaling is it just me or does \""""Danny\"""" seem a lot like Billy Crystal in the first 1/3rd of When Harry Met Sally?"
2.5771E+17	neutral	"@thebrandbuilder @jowyang \""""See what I just did\"""" sound s like you saw Billy Crystal in Mr. Saturday Night. Yes?"
2.53418E+17	neutral	Billy Crystal attends the special 25th Anniversary Screening of \u2019The Princess Bride\u2019 at the New York Festival http://t.co/5juFdoBK
2.39603E+17	neutral	Meg Ryan: They don\u2019t make Sunday underpants.  Billy Crystal: Why? MR: Because of God. BC: *blank stare* #whenharrymetsally
2.54246E+17	neutral	We got tickets for the Late Show with David Letterman which will air tonight!  Look for us in the 3rd row.  Billy Crystal is the guest.
2.61256E+17	positive	Love Billy Crystal introducing the 1st game of the World Series.
2.54267E+17	positive	Watching When Harry met Sally\u002c how I love that movie!!! A) it\u2019s NYC B) it\u2019s Billy Crystal and Meg Ryan :) what a perfect start to Friday!
2.51035E+17	positive	Yelawolf is still the best Yelawolf - Billy Crystal Feat Rockcity On screen lyrics: http://t.co/0iSVQN00 via #DGITjustbecause he took 4th
2.55834E+17	negative	@IvanCarterCSN billy cundiff. His missed FG at the end of the 2nd quarter changed the game. He\u2019ll never play again
2.55774E+17	negative	"\""""No you may not kick it.\""""  -Tribe Called Quest answering a text from Billy Cundiff"
2.61587E+17	neutral	@Cardschatter @azcardinalsftw D\u002c you\u2019re the closest source btwn fans & team. BTW heard cards may sign Billy Cundiff. Any truth?! #snarklife
2.55759E+17	neutral	"@bacana1 MT@wingoz: The Baltimore Sun reporting that the Redskins have just Cundiff-ed Billy Cundiff\"""""
2.55983E+17	neutral	If any Baltimore team mascots come up missing 1st person of interest should be Billy Cundiff! Or the Redskins mascot is taken blame him!
2.56605E+17	neutral	Look #Steelers fans I know you may be upset about Suisham missing that kick. Just know that I heard a guy named Billy Cundiff is available.
2.56238E+17	neutral	The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry
2.5543E+17	neutral	"\""""per team source the Redskins will bring in some kickers for workouts tomorrow\u002c after Billy Cundiff\u2019s poor... http://t.co/PCv5l25P"
2.55732E+17	positive	Billy Cundiff may be leaving Washington.  Hopefully he won\u2019t miss the door on the way out.
2.5838E+17	positive	This President talking about growing the economy is like Billy Cundiff explaining to someone how to make a field goal in the 4th quarter.
2.3178E+17	neutral	@kinagrannis Two Birthday Cakes! One with Jelly Beans! I wonder what kind of Birthday Cake the 2nd one was? Goodnight Kina\u002c Emi\u002c and Misa.
2.20701E+17	neutral	According to the radio\u002c Rihanna\u2019s Birthday Cake is the official 4th of July anthem. Sounds about right.
2.23116E+17	neutral	Since tomorrow is my birthday & all\u002c I\u2019m gonna listen to every song with  the word birthday in it... Birthday Cake\u002c Birthday Girl...
2.26862E+17	neutral	Tomorrow I get to make a Birthday Cake.
2.51797E+17	positive	@Pikeyessex just in case you haven\u2019t had enough we have plenty of Birthday Cake ready for you tomorrow!
2.60485E+17	positive	I still want that Birthday Cake remix that I wanted on Saturday...
2.47522E+17	positive	"The Girl with the Birthday Cake on her in the \""""Birthday Song\"""" video.. Can somebody bring her to my house Thursday?"
2.2105E+17	positive	"These lil girls singing \""""Birthday Cake\"""" .....girl it was yo 10th birthday the other day smh lol"
2.54864E+17	positive	What better than to enjoy Turkey\u002c Pumpkin Pie and Birthday Cake all on the same day #Monday. Best way to celebrate being legal! #cantwait
2.32642E+17	positive	"\""""Birthday Cake\"""" is gonna be the song leading us into 4th quarter\u002c count it."
2.62629E+17	negative	@Becker_Boris It\u2019s almost 2 am in BKK but I can\u2019t sleep after the game. It isn\u2019t the 1st time we lost cuz of ref.
2.63295E+17	negative	@GD_girlsdesire awww Saturday? how was it?? @Realtaeyang you dont even came to my side much in BKK con\u002c i was so upset abt that
2.6359E+17	neutral	@RambleAndWander @xavieremir since ET went via BKK and has 5th freedom rights (which can load/unload pax)\u002c it\u2019s a indirect flight.
2.63575E+17	neutral	@dubonew  Plz\u002cTransfer money in TOMORROW!!. Because we want to success before SM Town in BKK.we have a big project for minseok ^^
2.63525E+17	neutral	@wayne_hay will you be in Myanmar on Saturday? I work with Tom at Spark PR in BKK. We have an event on Saturday in Yangon with Visa
2.63145E+17	neutral	last push! last day of training before the break! then i\u2019m off to BKK on thursday!!
2.63825E+17	positive	@BK_Worker2012  Hello Marie\u002c Are you stay in Bkk?. May God bless you:-)
2.62773E+17	positive	@MissPawee yes\u002c it\u2019s doable. I was at BKK from march 1-4 at night then flew to europe on march 5 in the morning.
2.64233E+17	positive	@kapoorkkunal Looking fwd to watching it sometime soon in BKK. :-) have a super friday and weekend ahead! Lotsa love :D
2.63742E+17	positive	THANKS TO THOSE WHO CAME DOWN TODAY!! Thanks for the love tonight!! BKK bound now!! See ya party people next wednesday!! #TGIW <3 GHETTO :)
2.63304E+17	negative	Im going to be the Black Dahlia tomorrow and no ones going to get it because everyone is stupid.
2.52114E+17	neutral	50 bucks to see Dethklok\u002c Machine Head\u002c All That Remains\u002c and The Black Dahlia Murder. I may just have to go see this show with or witho ...
2.53037E+17	neutral	Bloodbeast returns to the stage with Killatoria and new act Predomination. Join them this Friday at Black Dahlia.... http://t.co/nZb6hCmH
2.53717E+17	neutral	Come check out @shoutheyband at the black dahlia on saturday night! It\u2019s going to be a party!
2.56465E+17	neutral	OK\u002c who\u2019s going to Dethklok\u002c Black Dahlia Murder and All That Remains in Oakland Nov 26? http://t.co/fRDYgdWQ
2.63876E+17	neutral	Polar Dust is hitting Black Dahlia in Boksburg on the 10th of November. Click here for event details: http://t.co/9de40jL4
2.52727E+17	positive	@AcousticCrowds DM me your number and I\u2019ll send you a pic of the dress I\u2019m wearing Wednesday. It\u2019s perfect for being the Black Dahlia.<3
2.60961E+17	positive	@ashhellaflush haha Black Dahlia was my favorite song by them too!! I miss you too. Are you still going to miss may I?? :)
2.53066E+17	positive	@brittanymariep dethklok is having a tour:) they\u2019re coming to Chattanooga Dec 6 with Machine head. Black Dahlia Murder and ATR. I\u2019m going :)
2.49308E+17	positive	OMFGOMFGOMFGOMFG The Black Dahlia Murder/Machine Head/Dethklok/All That Remains are gonna be at the Palladium in November! *JOOOOOOOY*
2.16443E+17	negative	I just need to chill. Can\u2019t wait to unleash some aggression at Black Dahlia Murder tomorrow. #GonnaEndALife
2.45212E+17	neutral	@Q98Rocks Presents: DETHKLOK with MACHINE HEAD\u002c ALL THAT REMAINS\u002c and BLACK DAHLIA MURDER! TUESDAY\u002c NOVEMBER 13TH AT THE VENUE AT THE HUB!
2.4982E+17	neutral	@_justkel so excited about Cannibal Corpse\u002c I\u2019ve seen Devildriver twice but this\u2019ll be my 1st time for Corpse. oh and BLACK DAHLIA MURDER!
2.47863E+17	neutral	Dethklok\u002c All That Remains\u002c Machine Head\u002c Black Dahlia Murder\u002c and the Pacquiao vs Marquez fight this December >>>>>>>>>>>>>>>>>>>>>>>>>>>>>
2.46459E+17	neutral	Dethklok\u002c All That Remains\u002c Machine Head\u002c and The Black Dahlia Murder at Stage AE November 8th..HIGHLY considering going to that.#heavymetal
2.53545E+17	neutral	Jamming AA\u002c Miss May I\u002c and Black Dahlia Murder all day #RAGE
2.45207E+17	neutral	Q98 Presents: DETHKLOK with MACHINE HEAD\u002c ALL THAT REMAINS\u002c and BLACK DAHLIA MURDER! TUESDAY\u002c NOVEMBER 13TH AT... http://t.co/OpzJoZzP
2.46633E+17	neutral	So In Flames is coming back in December with Lamb of God\u002c then a couple days later\u002c Dethklok is coming with Black Dahlia Murder #stoked
2.22972E+17	positive	@FuckAria I can wear a Black Dahlia Murder shirt one day\u002c and a sun dress the next xD
2.45245E+17	positive	Dethklok\u002c All That Remains\u002c and Black Dahlia Murder in November? I can dig it!
2.62806E+17	neutral	#UFO & #Aliens Black Triangle Sighting in Pompano Beach\u002c Florida on October 28th 2012 - basically it blended wit... http://t.co/nSexv3ah
2.62345E+17	neutral	Alternative news: Black Triangle Sighting in Tucson\u002c Arizona on October 20th 2012 - Red circle with triangle cut... http://t.co/17nxAARp
2.63326E+17	neutral	Black Triangle Sighting in Oranjestad\u002c  on October 11th 2012 - black triangle ufo with resemblance of a stealth ... http://t.co/xE7uSjBc
2.61698E+17	neutral	Black Triangle Sighting in Perryton\u002c Texas on October 20th 2012 - Black object that obscured the sky and stars: ... http://t.co/Vgg6mDbs
2.63326E+17	neutral	UFO Sighting: Black Triangle Sighting in Oranjestad\u002c  on October 11th 2012 - black triangle ufo with resemblance... http://t.co/pwba09f5
2.61694E+17	neutral	UFO Sighting: Black Triangle Sighting in Perryton\u002c Texas on August 11th 2012 - Dark triangle shape across the sk... http://t.co/SRtIs128
2.61698E+17	neutral	UFO Sighting: Black Triangle Sighting in Perryton\u002c Texas on October 20th 2012 - Black object that obscured the s... http://t.co/BSoMVMSR
2.6252E+17	neutral	"Yes\u002c it is us: \"""" Black Triangle Sighting in Plainfield\u002c Illinois on January 4th 2000 - Large triangle ... http://t.co/gNrCFo6o \"""" #aliens"
2.62806E+17	neutral	"Yes\u002c it is us: \"""" Black Triangle Sighting in Pompano Beach\u002c Florida on October 28th 2012 - basically it... http://t.co/W6uCvtlp \"""" #aliens"
2.61945E+17	positive	"Yes\u002c it is us: \"""" Black Triangle Sighting in Olmsted Falls\u002c Ohio on October 12th 2012 - Triangular sape... http://t.co/p7dDl5yp \"""" #aliens"
1.09001E+17	negative	@BarackObama don't do it!  He won't respect you!  RT @thehill: Boehner asks Obama to move speech to Thursday http://ow.ly/6i345
1.09017E+17	negative	"Boehner tells Obama that sorry, the House is all booked up for Sept 7, maybe you can come another day... http://j.mp/qaXCPV"
1.09001E+17	negative	"Boehner wants Obama to move his speech on Wed to Thurs of nxt week, due to the GOP debate on Wed. No sense of urgency while americans suffer"
1.09003E+17	negative	Boehner wants president to change speech to Thurs instead of going against #GOP2012 debate. What? Same time as Packers-Saints #NFL opener?!?
1.06072E+17	negative	"DAMN, Someone saved HOLDER from the Earthquake! technically dont know why w/Biden out & Obama always out Boehner is 3rd in line!"
1.09003E+17	negative	RT @SovernNation: Boehner wants president to change speech to Thurs instead of going against #GOP2012 debate. What? Same time as Packers ...
1.09001E+17	negative	The GOP's greatest crime? @pwire: Boehner proposes Obama speech be on the same night as NFL opening night...  http://t.co/aS8DBGS
1.00669E+17	neutral	"@PsychoSix-Smoker Beohner \""got 98% of what he wanted.\""  Fact: Dow down 634 today and Boehner OWNS every point. #p2 #fok #maddow #teaparty"
1.08578E+17	neutral	@samyoungman Boehner sent a letter? @jamiedupree tweeted yesterday about one from Cantor.
1.09001E+17	neutral	Boehner proposes Obama speech be on the same night as NFL opening night...  http://t.co/kBX7PRr
1.09002E+17	neutral	"Boehner rejects 7th, invites Obama on 8th, NFL opening night. So Obama just has to speak @ WH on 7th to \""save\"" football coverage? #doitnow"
1.09003E+17	neutral	"If he truly loves his party, Boehner should be doing all he can to schedule Obama's address on the same night as the GOP debate."
1.09001E+17	neutral	"MT @thehill: Boehner asks Obama to move speech to Thurs http://t.co/tpjAWoy || Forget U @JohnBoehner, \""with or w/o U\"". Tues works for me."
1.01028E+17	neutral	RT @JoshDorner: RT @ThinkProgress These golf balls with Pelosi's face on them allegedly distributed at Boehner fundraiser today. http:// ...
1.09001E+17	neutral	RT @pwire: Boehner proposes Obama speech be on the same night as NFL opening night...  http://t.co/kBX7PRr
1.01029E+17	neutral	RT @thinkprogress Golf balls with Pelosi's face on them allegedly distributed at Boehner fundraiser today. http://t.co/AILg0QA | SICK!
1.0088E+17	positive	"@sunnyvegas702 Nice! Disagreement! Of course, he sat down with Boehner only thi (@YouTube http://youtu.be/_darnZtzjJo?a)"
1.04033E+17	positive	Hide in country clubs all U want Boehner! ReverseRobocall.com launching soon & I'm one of 1st in line! Join me. #launch http://t.co/6Qpx3X4
