NA	sentiment	tweet
2.23345E+17	neutral	BLUE News: Today I am going to dry out the show gear whilst the sun is out. It got very wet at the Great Yorkshire Show http://t.co/jf4GI4ih
2.15078E+17	positive	Barbarians tonight for the mighty men of #freedomchurch in Makerere University. And what a powerful message from Sunday to get stuck into!
2.79764E+17	positive	We're stoked to announce that our brothers in @prypiat have been added to the show on January 4th at Rum Runners.... http://t.co/X8kQEba8
2.72485E+17	positive	Amazing football with tons of thanksgiving leftovers is making for the laziest Saturday of all time
2.23918E+17	neutral	Another event coming up soon for POE August 4th &amp; 5th at Pomona Fairplex. will fill you in soon!
2.12006E+17	neutral	COOL OUT MONDAYS goes down tomorrow night at the Gin Mill... 10-2 grown folks only!! http://t.co/IIKf9Xbt
2.34388E+17	neutral	@RushiNyan 2nd dyz - Acid Black Cherry - DIR EN GREY - DOG in the PWO - Kiryu - MAXIMUM THE HORMONE - Nightmare - Plastic Tree - SaTaN -
2.29505E+17	neutral	"The curse that is Sunday mornings at the Nationals strikes again, drew 1 - 1 with Barbarians but finish top of their league."
2.68125E+17	positive	Happy Veteran Day..to the wonderful men and women who served our country..it may be a tough job..buts it for the love if America..God Bless
2.49392E+17	positive	@clubalektrablue Perfect for the week that contained International Talk Like A Pirate Day (19th)... Arrrghhhhhh!!!! :-) x
2.23854E+17	neutral	so i've been sat watching the junior champs not realizing the london grand prix was on -.-
2.41111E+17	positive	@BrockJays i'm coming to see you you at Westfield Parramatta on Saturday!! SOOOO EXCITED!!! xxx
2.30461E+17	positive	"Seeing the Nekromantix on Thursday.. I shall wear MUFE Moulin Rouge lipstick &amp; my PUG Jack-O-Lantern necklace, all thanks to @MichelinePitt!"
2.47781E+17	neutral	MT @oakartenthsiast: Sculptors! Have you submitted for new Art Park on Telegraph &amp; 19th in #Oakland? 36 hours left! http://t.co/iVcqwEkZ
2.42594E+17	positive	De La Soul's Eye Know playing in Pret - the perfect Monday tonic!
2.38888E+17	positive	My cousins are coming up later for the Runrig concert tomorrow nights. Haven't seen them in months
2.56152E+17	neutral	"Nearly mid-October...Best dust off the old Misfits, Nekromantix and Nerve Agents MP3's ready for their token halloween week listening #ghoul"
2.66255E+17	negative	"GC Event Update: Friday's event Fire in the Ashes, with Jonathan Kozol &amp; Brian Jones, has been cancelled."
2.58884E+17	neutral	"Today's thermomix creations, vanilla fudge for the scout fundraiser, Moggill Markets this Saturday, bread rolls for lunches tomorrow!"
2.76792E+17	positive	"Nekromantix, The Black Rose Phantoms, The Spoofs and Clownvis will be performing at the House of Blues on Dec 21! I got 4 free tix! Lets go!"
2.26619E+17	neutral	@PompeyNev Sunday's stage is one for sprinters - who will be way down the classification so no threat to Maillot Jaune.
2.7068E+17	positive	"@LisaMonroeNow Yep, it should be pretty good. Did you see our interview with Morgen about Crossfire Hurricane? http://t.co/bLimFNo8"
2.67406E+17	neutral	"Bizarre fact: Remembrance Sunday (tomorrow, peeps!) shares the record for joint longest televised annual event with the Chelsea Flower Show"
2.49038E+17	positive	I hope my better half is feeling better today! I will be so sad if we can't climb Mount Snowdon tomorrow! Was so looking forward to it!
2.08973E+17	negative	Vermalen and @VincentKompany in defence! Belgium are going to be difficult to score against when playing their 1st back 4 #England
2.81269E+17	positive	Watching Nightmare Before Christmas for the first time in a long time. It holds up but I may be biased cause Danny Elfman sings the songs.
2.40925E+17	positive	@1nationunderrob i believe i just got ur msg. so chill out.... Splash Dance happens every thurs night at surrender. its a pretty good party
2.67979E+17	neutral	Veteran day video makes me think of 5th grade #mylife
2.73932E+17	neutral	"I will be tapping Stone Brewing """"Enjoy By IPA"""" tomorrow at @Bleu_Restaurant. We've got till 12/21/12 to drink it."
2.53652E+17	negative	Catelynn looked like a straight up street walker the 1st season of teen mom.
2.42982E+17	positive	"@MaiteOficial today is 1st day in school.. wish me luck, Maite!!! #TQM"
2.51381E+17	negative	"Arr! Last Wednesday, on International Talk Like a Pirate Day, some pirates invaded Mobius for a day of Pirate Science! http://t.co/4OzCT9vl"
2.6934E+17	positive	Mr Blue Sky to make this Friday even more awesome. Quickly followed by Eagles of Death Metal.
2.5789E+17	neutral	"My piece on Mehdi Hasan &amp; abortion on @Guardian: """"Yes, being pro-life does make you less of a lefty"""" http://t.co/5hL8fTgi"
2.45211E+17	neutral	"Well, I guess this is the last Monday I can blame Gin Mill for my hangover."
2.60037E+17	neutral	"@Stringsmusic1 Check us out http://t.co/beCurKYd @Renditiontv airs every Friday on the CW Network and covers Charleston, SC to Brunswick, GA"
2.26018E+17	positive	If anybody's in the Lechlade area on Sunday Lunch time come and watch my band et al play at the Riverfolk Festival. http://t.co/c7HXCAym
2.42856E+17	positive	Just finished watching the 1st season of Breaking Pointe (new tv doc about Ballet West) and was pleasantly surprised. What did you think?
2.25589E+17	negative	I want to go for Dance on Friday but it seems like I can't because it's Nurses Day on that and we can't skip it! NUUU. HAIS.
2.59922E+17	positive	@maddielineee i like that idea hehehe. Interlaken is fun but we may see the tweaker again....we'll bring protection.
2.44473E+17	neutral	"Wetherby Reading Club. 11 Sept, 2.00 - 3.30pm, Wetherby Library. Places are limited. Please contact the library for details: 01937 583 144"
2.6365E+17	positive	"Tomorrow is International Talk Like a Pirate Day. Drink some of this, and the heart of the fair maiden will be yours! http://t.co/GCE7QEw2"
2.10966E+17	neutral	#bluemoon on deck! Friday morning with da bro and best friend @ The Gin Mill http://t.co/xERaFRqG
2.35048E+17	negative	"Lol RT@RihannaDemos:The fact that almost all the""""Styled To Rock"""" candidates are on Twitter Who's ready for stalking?They may spoiled a lot?"
2.85844E+17	positive	I think I may have a slight (um maybe a severe) addiction to the vanilla fudge quality streets. THEY'RE IRRESISTABLE
2.27884E+17	positive	@karminmusic JUST found out about Binghamton NY next Saturday - can't wait! :) #Spiediefest #RoadTrip
2.17803E+17	positive	June 15th is now and forever going to be Matt Cain Day in San Francisco. And they gave him a key to the city. Wow. #SFGiants
2.27511E+17	neutral	"@gillabill finally replying! In Brac at the moment, moving onto Hvar wed , den Dubrovnik Fri, and fly home monday!"
2.46826E+17	neutral	Youth Soccer continues this Saturday. Check with Chandra Farnsworth if you need schedules and times.
2.4855E+17	positive	Did you know September 19 is International Talk Like a Pirate Day? And a mighty fine day it is mateys! ARrrrrrrrr!
2.71022E+17	positive	"Next meeting - Tuesday, Nov 27th at 7pm at the Creative Alliance. See you all there!!"
2.12318E+17	neutral	Rival Schools has just announced their Australian Tour dates this September. Tickets on sale June 15. http://t.co/nW25bzaU
2.16087E+17	neutral	@GirlfriendMAG Model Search tomorrow between 9am-12.30pm at Westfield Parramatta. Applications available on the day.
2.22927E+17	negative	Very disappointed to learn that the Great Yorkshire Show has been cancelled @greatyorkshow . Had planned to go tomorrow.
2.62549E+17	neutral	Fact: Trying to escape the bed in the morning may require some expertise in Jiujitsu.
2.48861E+17	positive	I'm finally going to get to see Rise Against! Who else is going to Riot Fest on Saturday?!
2.38202E+17	positive	Can't wait for tomorrow when some of my Liverpudlian family arrive for the bank holiday weekend! :D
2.56217E+17	positive	Everyone in the Summersville area come watch our game tomorrow at Nicholas County!!
2.77282E+17	positive	So excited you're coming home tomorrow! Love you MITCHIE. #onlychildprobs #imbored @meeschtull
2.75084E+17	positive	Thank you Baltimore for a GREAT Holiday Heap! My best ever today! Join us tomorrow at the Creative Alliance 3134... http://t.co/wErFI7r0
2.79838E+17	neutral	"I'm going to sing Different Summers on Monday, by Mitchie Torres/Demi @ddlovato .."
2.39702E+17	neutral	"Just watched Pulled Apart by Horses &amp; Band of Skulls, &amp; am about to see Eagles of Death Metal! 19th birthday shenanigans @officialRandL"
2.67885E+17	positive	The best thing about Veteran Day tomorrow: the kids are off from school so I can sleep until 7:45 :)
2.69195E+17	neutral	"Getting ready for Knollwood P.S. bazaar, tonight and tomorrow! Details, see here: http://t.co/rRRrQvFD"
2.67946E+17	positive	Antonio Carluccio may tweet about going to the dentist and napping but I still love him.
2.66191E+17	positive	"Veteran day is on the 11th, remember to thank a vet or soldier for the fact that you had the right to vote on Tuesday."
2.16331E+17	neutral	"In related news, there were no subs for the Red Stars to start the 2nd half. No lightning updates yet..."
2.45107E+17	positive	okay?! omg! ill do it tomorrow! and BABY BOOM! hahah XD i promise! :)
2.37678E+17	positive	$1 daiquiris at Rum Runners tonight and I don't have class til 2 tomorrow..... Yesssss!
2.42593E+17	neutral	"Found Footage Festival: Hey, whatever happened to that VHS tape?... Sunday, September 9th, the Creative Alliance... http://t.co/qu2nRHlh"
2.60145E+17	neutral	I just noticed MySa squared us in our friday game (-__-)
2.60636E+17	positive	Climbing Mount Snowdon on Sunday for #childreninneed with 6 young people from a home....anyone want to sponsor me @antanddec @Harry_Styles
2.6761E+17	positive	Been to the #Woking Remembrance Service - now out delivering in support of @OsheaNick for Thursday's Police and Crime Commissioner election
2.36605E+17	positive	@LewisAtkinson that's the 2nd best programme I've watched all week. Jimmy McGovern knows how to make drama
2.72277E+17	positive	"New at forum: Ferry from Dubrovnik to Hvar: Hallo, we want to travel from Dubrovnik to Hvar on Sunday 1... http://t.co/XI64g5px #Croatia"
2.48445E+17	positive	This just in!!! I will be performing in the Nina tribute show this Friday at the Creative Alliance!! As a special guest of Jonathan Gilmore
2.61077E+17	positive	Brilliant that the Edinburgh Derby is at night on the 3rd! Can't beat the atmosphere of these games under the floodlights #Hibs
2.59241E+17	positive	The view of the clubhouse from the 1st tee at Lough Erne yesterday! Best parkland golf course in Ireland. http://t.co/9ipo8OLn
2.61942E+17	neutral	@LUFC_SOCCER Gators soccer wins 12th SEC title: The three points earned put Florida on top with 33 ... http://t.co/4xWFKZXn Youth Soccer
2.3886E+17	positive	"@SurrenderVegas tonight, light up the night at our 2nd edition of Neon Night Light. Bring out those bikinis and Splash Dance! &lt;3"
2.46331E+17	positive	@BubbaNicholson what is going on young man! TEAMLTD misses seeing u on Monday's at The KEE for our 'casual' drinks. Catchup in Toronto soon
2.08273E+17	positive	"PSYCHED that Jeff Shaara just released the 1st of 3 new books! """"Blaze of Glory"""" about the Shiloh &amp; the Western theatre of the Civil War!"
2.82629E+17	positive	I want to go to grand bend for may 24
2.74956E+17	positive	"Got my Sunday sussed out start with Russian game,MK Dons,Edinburgh Derby for starters.!"
2.75253E+17	positive	On Wednesday we welcome chef and restaurateur Antonio Carluccio to the store to sign copies of his new book. http://t.co/8Pq0Sccl
2.59211E+17	positive	"Locked and loaded for IGTOA this weekend at Lough Erne, home to LK tonight playing @Ballyliffin tomorrow forecast looking good! #linksgolf"
2.56348E+17	positive	I love the new Antonio Carluccio show on SBS. Beautiful food in gorgeous Liguria Italy. Watch it every Thurs 8.30pm. #bellissimo
2.3589E+17	neutral	@james_Jeffrey Pussy Riot: are you sure? Barbarians defended | Herald Sun Andrew Bolt Blog http://t.co/hRiqnFFy
2.49603E+17	positive	Going to Warhorse at the Winspear Opera House tomorrow. Really really excited! Anyone else seen this?
2.40428E+17	positive	Finally made it back from French storms to Luton sun. And in time not just for acting debut 9pm but Jimmy McGovern on @richardbacon 215pm
2.25737E+17	positive	"Made vanilla fudge, tastes incredible, making chocolate but stopped cus it got late, finishing it tomorrow :D all for @vinnymac31"
2.24259E+17	positive	"Tomorrow Bradley Wiggins will break the record for number days in the Maillot Jaune for a British rider, beating Chris Boardman. #TdF"
2.50369E+17	neutral	"2016 Summer Olympics will be in Brazil, the 6th largest economy in the world. Crazy fact: fewer than 15% of roads in Brazil are paved."
2.55406E+17	positive	Catelynn and Tyler from Teen Mom are apparently going to be at Bethany tomorrow! Looks like I'm going snooping...#dreamcometrue #highhopes
2.00769E+17	neutral	"This Sat., I'll be at the Whole Earth Festival in Davis, CA. Chatting with Kim Stanley Robinson about SF and the environment, from 1-3pm."
2.72059E+17	neutral	Highest accumulations from Snowsqualls tonight to tomorrow would be between Bayfield and Grand Bend along hwy 21 &amp; SE to Stratford #onstorm
2.82112E+17	positive	@BitterMel1065 same here in Detroit. Come out to Gin Mill on Saturday if you're bored. Mark's in town too. We're going to partay...
2.79577E+17	negative	@QIONGGG i think i go tomorrow. Cuz im on my way to my dad first cuz i have no money to go to interlaken T.T i just hope hes there tomorow
2.72805E+17	positive	"@dimebagwillsy3 @RollingStones have you been watching Crossfire Hurricane, the documentary, last 2 saturday nights? Superb."
2.78607E+17	positive	"@piersmorgan relax, you can now concentrate on finishing 4th and which one of Wilshere, Carzorla or Vermalen you want to sell to City."
2.6918E+17	neutral	"You want to see wrestling in Binghamton NY, then get your tickets for this Saturday as 2CW returns to the American Legion Post 80. #Iam2CW"
2.54996E+17	negative	"Every time I see a runner slide into 1st, I see Kenny Lofton laying on the ground, arm limp like a dead fish."
2.79773E+17	positive	Still Got Halloween Candy?: You may be priding yourself on the fact that there's still Halloween candy h... http://t.co/NpdL0AOb
2.53587E+17	neutral	@RocketSoccerAM one for 3rd eye arsenal v olympiakos vermalen falls off the crossbar into the olympiakos goal around 60th minute
2.40831E+17	positive	Lots of appointments booked in for Shaun's trip to the satellite office in Haltwhistle tomorrow. Its good to keep him busy!
2.79734E+17	positive	2 hours and 15 minutes away from Utah and Alaska. Come on over to the Maverik Center for Friday night hockey. It's Always A Good Time!
2.36213E+17	positive	Super pumped to celebrate with my K/1st graders who made it through Summer Olympics: Training in Truth @TheAustinStone #lovekids #loveJesus
2.72392E+17	negative	Thanksgiving leftovers loses its appear after the 2nd day... Gotta find some Otha shit to eat today.
2.78174E+17	positive	@JessAnnMason Hi Jessica--looking forward to having you do your IJNet chat on Tuesday. Hope you saw Maite's email.
2.49075E+17	neutral	"A love affair with alliums - Vancouver Sun: A love affair with alliumsVancouver SunAt the Chelsea Flower Show, w... http://t.co/aTMlz0B2"
2.58131E+17	neutral	"I've not read Mehdi Hasan's article yet. When I do I may owe some people an apology. However, we need to keep in mind the role of religion."
2.6437E+17	neutral	"Climbing Mount Snowdon tonight, have a feeling a may need crampons, can someone ask @BearGrylls if he has any spare I could borrow?"
2.56082E+17	positive	"clear the day this saturday Pepper, i'm going to Kiryu."
2.43596E+17	positive	"@IbizaClubnews Flying out on the 24th arrive at 4pm, straight to Circoloco then Cocoon heroes! #nomessing"
2.79037E+17	positive	May be leaving in May to tour Canada with Of Temples ;). Beckley / Summersville shows the first of the year aswell. See you guys soon!
2.67553E+17	positive	Happy Veteran Day! Back in the day! 2nd 75th Ranger http://t.co/0FWuNd9q
2.07524E+17	positive	hope you all tuned into the Chelsea Flower Show - some of the exhibitors will be at the Kent Garden Show beginning on the 2nd of June!
2.38008E+17	positive	We are blessed with the writing of Jimmy McGovern in this country. Long may that continue #theaccused
2.54986E+17	positive	Watching this U10 tournament on the #turf at MYSA really shows how much 1st touch and possession go hand in hand - for my HS team too! :)
2.68071E+17	positive	Sucks that I left Warners after they sign one of the hottest UK artists @liannelahavas Can't wait to see her live in March! #lianneRocks
2.26183E+17	neutral	"Come see the Performing Arts Institute performance of """"West Side Story"""" at the Kirby Center in Wilkes Barre PA on August 2 and 3 at 8 pm"
2.8268E+17	positive	FIGHTER FIT CAMP TOMORROW AT 11am!!!! 1st timers are FREE!!!! Open mat JiuJitsu at noon. It's going to be a... http://t.co/OKzY0RHL
2.09726E+17	positive	@m_shinoda Did you enjoy Rock im Park? :) I was at the front = so epic! See you tomorrow in Berlin! Any surprises? ;) Linkin Park rocks! :)
